event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX absorbs every ___,"[""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""Conscious"", ""Aware"", ""unwasteful"", ""smart""]","[""none""]","[""moment"", ""to completely understand his position and the alternatives""]","[""none"", ""to walk around and take notes"", ""to relax in the spa"", ""to be a quick learner"", ""to be a good listener"", ""to be at a conference"", ""to be in class""]","[""very nice"", ""well educated on the pros and cons of the matter""]","[""not to waste any detail"", ""to make good use of that knowledge"", ""to know all the information"", ""to be aware of their surroundings"", ""to write notes"", ""to remember every detail"", ""to teach others""]","[""absorbs"", ""every""]",trn
PersonX abuses PersonX's power,"[""are told what to do"", ""given unfair consequences or punishment"", ""reach out for help"", ""none""]","[""humiliated"", ""sad"", ""angry"", ""cheated""]","[""report PersonX to HR"", ""get PersonX fired"", ""to elect a new person"", ""to depose PersonX"", ""to impeach PrrsonX"", ""to punish person X"", ""to get rid of person X's atrocities"", ""to elect another leader"", ""to banish PersonX"", ""to remove PersonX"", ""to stop PersonX"", ""to depose PersonX"", ""to hurt PersonX""]","[""out of line"", ""irresponsible"", ""mean"", ""confident"", ""abusive"", ""unreliable"", ""abusive"", ""careless""]","[""becomes authoratarian"", ""is ostracized"", ""is relieved of position"", ""is arrested"", ""BECOME WEAK"", ""WASTE OF POWER""]","[""to profit from his position"", ""to get ahead by cheating""]","[""to become a manager"", ""to have people work for him"", ""to take over"", ""to get elected"", ""to be ill-mannered"", ""to be greedy in nature"", ""to be in power"", ""be greedy"", ""be evil""]","[""guilty"", ""mighty"", ""corrupt"", ""powerful""]","[""harass employees"", ""tell others what to do unreasonable things"", ""to collect money"", ""hire new staff"", ""to rule the poor"", ""to show his might"", ""to amass wealth illegally"", ""to feel more important"", ""to get more money"", ""to get away with it"", ""to take even more power"", ""to be in charge"", ""to rule others""]","[""abuses"", ""power""]",tst
PersonX accepts PersonX's diploma,"[""none"", ""none"", ""none""]","[""proud"", ""excited"", ""none""]","[""none"", ""none"", ""none""]","[""succesfull"", ""educated"", ""successful"", ""satisfied"", ""graduating"", ""acquiring""]","[""PersonX graduates high school"", ""PersonX graduates college"", ""walks on stage"", ""shakes a hand"", ""They cheer"", ""They throw their hat into the air"", ""They pose for photographs"", ""They go out for dinner to celebrate""]","[""to graduate from high school"", ""to graduate""]","[""attended school"", ""take final exams"", ""go to high school"", ""graduate from high school"", ""pass exams"", ""go to the ceremony""]","[""proud"", ""accomplished""]","[""to attend  college"", ""to get a job"", ""get a job"", ""apply for college"", ""celebrate"", ""breathe a sigh of relief""]","[""accepts"", ""diploma""]",dev
PersonX accepts PersonY appointment,"[""persony shakes personx hand"", ""persony taps their foot while waiting"", ""none"", ""shakes hands"", ""says congrats""]","[""excited"", ""none"", ""happy""]","[""to have a good appointment"", ""to follow up with PersonX""]","[""Booked"", ""Timely"", ""humble"", ""accomplished"", ""responsible."", ""punctual."", ""dependent.""]","[""personx travels to appointment"", ""personx shajes persony hand"", ""become boss"", ""has more responsibility"", ""swears an oath"", ""takes office""]","[""to have a job"", ""to help"", ""to take on the responsibilities of the job"", ""to checkup on him""]","[""to clear spot in schedule"", ""to reserve appointment space""]","[""confident"", ""committed"", ""helpful""]","[""to assess the appointment"", ""to follow up with PersonY""]","[""accepts"", ""appointment""]",trn
PersonX accepts PersonY invitation,"[""PersonY adds PersonX to the guest list"", ""PersonY smiles"", ""invites PersonX in"", ""throws a party"", ""none""]","[""glad"", ""good"", ""also happy"", ""thankful"", ""happy invitation was accepted""]","[""prepare to hang out with PersonX"", ""wait for engagement"", ""to ask about the event"", ""to put the date in their calendar"", ""to go to dinner."", ""to have fun.""]","[""social"", ""interesting"", ""grateful"", ""forward looking"", ""sociable"", ""polite""]","[""PersonX mails an RSVP to PersonY"", ""PersonX buys a gift for PersonY"", ""attends the party"", ""buys a present"", ""buys gift"", ""goes to party""]","[""to enjoy his time"", ""the appreciation"", ""to go the invited program"", ""to see person"", ""to gain person's friendship""]","[""know PersonY"", ""be invited by PersonY"", ""none"", ""to get a message from PersonY."", ""to know Persony.""]","[""included"", ""good"", ""happy"", ""happy to be invited""]","[""go to engagement"", ""make a note"", ""to invite other people"", ""to talk about the party"", ""to go out with PersonY."", ""to drive to the event.""]","[""accepts"", ""invitation""]",dev
PersonX accepts PersonY offer,"[""none"", ""none"", ""pay person X"", ""get item they bought""]","[""giving"", ""none"", ""disappointed""]","[""to let PersonX know of the rules with the offer"", ""they want to congratulate PersonX"", ""none""]","[""intelligent"", ""resourceful"", ""humble"", ""fair"", ""dealer"", ""haggler""]","[""Person X marks the offer on his calendar"", ""Person X thanks person Y"", ""PersonX joins the company"", ""PersonX accepts a new job"", ""Person X works for person y"", ""gives person y item""]","[""to gain something"", ""job"", ""to be paid""]","[""to try and counter offer"", ""to ask PersonY for something"", ""to have an interview with PersonY"", ""to waiting for new offer"", ""to find the good offer""]","[""grateful"", ""happy"", ""satisfied""]","[""to start the new relationship"", ""to sign documents confirming the offer"", ""to discuss with personY"", ""to""]","[""accepts"", ""offer""]",dev
PersonX accepts PersonY thanks,"[""feel even"", ""agree with one another"", ""think more of personX"", ""has self respect"", ""peaceful of mind"", ""socially correct""]","[""grateful"", ""thankful"", ""happy""]","[""none"", ""to help him"", ""to support him""]","[""grateful"", ""happy"", ""polite"", ""friendly"", ""humble"", ""kind"", ""gracious"", ""helpful""]","[""feels grateful"", ""proud"", ""thinks more of personY"", ""is respected himself"", ""receives a verbal reward"", ""gains friendship""]","[""to be gracious"", ""as pleasure"", ""to be accepts person thanks""]","[""to get talk to Y"", ""to says thanks to Y""]","[""appreciated"", ""very pleasure of his work"", ""happy""]","[""to relax"", ""to be happy"", ""to forgive him"", ""to give him a treat""]","[""accepts"", ""thanks""]",trn
PersonX accepts PersonY's apology,"[""become friends"", ""settle the score"", ""they don't do it again"", ""they are well tolerated""]","[""happy"", ""grateful""]","[""to be forgiven"", ""to move on"", ""say sorry"", ""meet personY""]","[""empathetic"", ""frank"", ""amiable"", ""compassionate"", ""Forgiving"", ""kind""]","[""paid his debt"", ""is relieved"", ""they talk to personY more"", ""they are respected by other people""]","[""to feel peaceful with persony"", ""to be generous""]","[""to have been offended in the first place"", ""to be open to forgive them""]","[""relieved"", ""good""]","[""to forgive"", ""to move on"", ""to get apology"", ""to meet personY""]","[""accepts"", ""apology""]",tst
PersonX accepts PersonY's invitation,"[""smiles"", ""loses money hosting event"", ""none"", ""PersonY spends time with PersonX"", ""People at the event spend time with PersonX""]","[""happy"", ""happy personx accepted"", ""glad""]","[""none"", ""none""]","[""excited"", ""loved"", ""Outgoing"", ""Social"", ""social"", ""friendly""]","[""learns date and time of event"", ""smiles"", ""gets thanked"", ""forgets about it"", ""Person X attends event"", ""PersonX feels included""]","[""to be polite"", ""to see persony"", ""to not disappoint persony"", ""they want to go out with persony"", ""they want to be polite"", ""they want to attend the event""]","[""none"", ""receive a card"", ""reply the card""]","[""grateful"", ""excited to see persony"", ""happy""]","[""to honour person Y as a host"", ""to attend a good seminar"", ""bring gift"", ""show up in the event""]","[""accepts"", ""invitation""]",dev
PersonX accepts PersonY's offer,"[""shakes hands"", ""smiles"", ""shakes hands"", ""signs papers"", ""pays person Y"", ""signs the papers""]","[""they have given a good service"", ""satisfied."", ""relieved"", ""pleased""]","[""to take the money"", ""to hand over the goods"", ""to thank person X"", ""to file the signed agreement"", ""personx to accept the offer"", ""to have there offer accepted""]","[""Trusting"", ""Kind"", ""considerate"", ""friendly"", ""concilliatory"", ""amicable""]","[""shakes hands"", ""goes over the agreement"", ""shake hands"", ""sign papers"", ""signs the papers"", ""accepts the money""]","[""to buy the things"", ""to obtain something."", ""to form agreement"", ""to move past disagreement""]","[""none"", ""to meet with person Y"", ""to read the agreement"", ""none""]","[""happy that he saved a money"", ""satisfied with the offer"", ""relieved."", ""relieved"", ""reasonable""]","[""to pay money"", ""to look at the goods bought"", ""to sign an agreement"", ""to discuss the agreement further"", ""decide on offer"", ""pick whether to accept or decline the proposal""]","[""accepts"", ""offer""]",dev
PersonX accepts PersonY's proposal,"[""signs the paper"", ""get's a receipt""]","[""excited"", ""happy their proposal was accepted"", ""thankful"", ""relieved""]","[""to make plans"", ""to buy wedding bands"", ""to answer"", ""for PersonX to accept answer"", ""to marry PersonY.."", ""to buy a home.""]","[""Trusting"", ""Agreeable"", ""amenable"", ""cooperative""]","[""signs the paper"", ""earns some money""]","[""wants to get married"", ""to move on with the project"", ""to get married"", ""to be together""]","[""to date"", ""to fall in love"", ""to propose"", ""to be with PersonY"", ""to like PersonY."", ""talk to PersonY.""]","[""excited"", ""happy"", ""happy to be getting started"", ""happy"", ""thrilled"", ""accepting""]","[""to plan a wedding"", ""to marry"", ""for PersonY to accept proposal"", ""to be pleased"", ""to get married."", ""to get a raise for a higher position.""]","[""accepts"", ""proposal""]",trn
PersonX accepts PersonY's resignation,"[""become unemployed"", ""receive their retirement"", ""none"", ""get's to retire"", ""get's lots of rest""]","[""lost"", ""none"", ""happy""]","[""curse PersonX out"", ""leave the building"", ""search for a new job"", ""work elsewhere""]","[""Understanding"", ""Accepting"", ""saddened"", ""disappointed""]","[""gets overwhelmed with work"", ""makes more money"", ""none"", ""needs to find another worker"", ""wants them to know their work was appreciated""]","[""none"", ""none"", ""to be sincere""]","[""reprimand PersonY"", ""find a replacement"", ""none""]","[""sad"", ""worried"", ""sad""]","[""hire the replacment"", ""shake PersonYs hand"", ""look for a new worker"", ""dismiss Person Y""]","[""accepts"", ""resignation""]",trn
PersonX accepts ___ as PersonX's savior,"[""is accepted"", ""is thought about"", ""none"", ""someone else know holds personx's life in their hands"", ""another person has become greater""]","[""none"", ""all powerful"", ""adored"", ""believed""]","[""none"", ""none"", ""none""]","[""thankful"", ""grateful"", ""naive"", ""faithful"", ""religious"", ""spiritual""]","[""gains acceptance"", ""thinks about person x"", ""is humbled"", ""becomes worshipful"", ""he owes a debt to someone"", ""he is saved"", ""he is protected""]","[""to be religious"", ""to dedicate oneself"", ""to believe"", ""the eternal life"", ""to put personx's faith in christ""]","[""none"", ""to believe in God"", ""to frequent church"", ""to pray"", ""admit there sins""]","[""accomplished"", ""holy"", ""blessed"", ""forever grateful"", ""saved"", ""relieved"", ""faithfu""]","[""pray"", ""share their"", ""new faith"", ""to go to heaven"", ""to believe in God"", ""to go to heaven"", ""believe in god""]","[""accepts"", ""savior""]",trn
PersonX accepts ___ in exchange,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""agreeable"", ""accepting"", ""reasonable"", ""fair"", ""accepting"", ""compromising""]","[""none"", ""banks his money"", ""helps people figure things out""]","[""happy"", ""accepts the dress in exchange""]","[""none"", ""to be a trader"", ""to want to compromise"", ""to make an exchange agreement"", ""none""]","[""satisfied"", ""satisfied""]","[""to be civil"", ""to make progress"", ""to try out the new one"", ""to have the new one approved"", ""to have the salary"", ""to do something in that salary""]","[""accepts"", ""exchange""]",dev
PersonX accepts ___ in payment,"[""Ability to pay PersonX"", ""Increased opportunities to use Person X's services/product""]","[""none""]","[""to put the check in their account"", ""to help the next person"", ""none""]","[""Facilitating"", ""Engaged"", ""bribeable"", ""unethical"", ""flexible"", ""kind""]","[""Has increased business opportunities"", ""Has more wealth""]","[""to be nice""]","[""to do some work"", ""to of been hired"", ""to make a deal"", ""to sign a contract""]","[""satisfied""]","[""to go to the bank"", ""to save it"", ""to buy a tv"", ""to go to a concert""]","[""accepts"", ""payment""]",tst
PersonX accepts another ___,"[""none"", ""none"", ""none""]","[""happy about his acceptance.""]","[""none"", ""none"", ""to make a handshake deal"", ""to move on""]","[""flexible"", ""mobile"", ""powerful"", ""wise"", ""available"", ""receptive""]","[""has to give notice"", ""smiles at the better work"", ""becomes more full"", ""gets more popular"", ""making friends"", ""changing job"", ""accept request"", ""moving another place""]","[""none""]","[""none"", ""to be offered something"", ""to get something"", ""to listen to the offer"", ""to assess the situation""]","[""he will be good at it.""]","[""to create peace"", ""to make the country a better place"", ""to keep doing what they're doing"", ""to show off"", ""to make a handshake deal"", ""to move on""]","[""accepts"", ""another""]",trn
PersonX accepts every ___,"[""none"", ""none"", ""frowns"", ""smacks own forehead""]","[""none"", ""none""]","[""to thank PersonX"", ""to tell others"", ""to keep giving PersonX information"", ""to find new friends"", ""none""]","[""accepting"", ""trusting"", ""satisfied"", ""apathetic"", ""open-minded"", ""modest""]","[""starts to write on a book"", ""looks for people to tell"", ""none"", ""smiles"", ""claps hands""]","[""to be agreeable"", ""to be as non-confrontational"", ""to be accepting""]","[""none"", ""to appreciate it"", ""to be alright with doing it""]","[""cooperative"", ""happy"", ""popular""]","[""recognition"", ""to slow down"", ""to get along with others"", ""to make friends"", ""to seek out more things"", ""to work through all of them""]","[""accepts"", ""every""]",trn
PersonX accepts god 's ___,"[""none""]","[""none""]","[""none"", ""none"", ""none""]","[""grateful"", ""god-fearing"", ""decisive"", ""willful"", ""religous"", ""believer""]","[""none""]","[""none""]","[""to contemplate in silence"", ""to think about life"", ""to pray to God"", ""to dedicate himself/herself to God"", ""To be a god\u2019s believers"", ""To be praying""]","[""safe""]","[""to repent for their sins"", ""to seek out a priest"", ""to continue to follow God"", ""to break away from God"", ""To become monk"", ""To donate all his money""]","[""accepts"", ""god""]",dev
PersonX accepts happily,"[""none"", ""instructs PersonX"", ""says you're welcome""]","[""glad"", ""none""]","[""to throw a party"", ""to clean up the mess"", ""give the item"", ""share"", ""go together"", ""work together""]","[""grateful"", ""appreciative"", ""gracious"", ""thankful"", ""accepting"", ""humble""]","[""none"", ""uses an item"", ""thanks someone""]","[""none"", ""to take the opportunity""]","[""to get a phone call"", ""to be invited"", ""none""]","[""grateful"", ""happy"", ""excited""]","[""to go to the party"", ""to enjoy themself"", ""follow through"", ""go along"", ""proceed"", ""take the item""]","[""accepts"", ""happily""]",dev
PersonX accepts into college,"[""none"", ""none"", ""hopes they do well"", ""has to pay tuition""]","[""none"", ""none""]","[""to celebrate with their family/friend"", ""to help them get to school"", ""none""]","[""hopeful"", ""responsible"", ""smart"", ""intelligent"", ""studious"", ""smart"", ""talented""]","[""Studies"", ""Gets a loan"", ""PersonX gets assigned to a dorm"", ""PersonX attends Freshman orientation"", ""has to pack"", ""needs to decide what major""]","[""to going college"", ""none""]","[""to get good grades in high school"", ""to apply to college"", ""decide where to apply"", ""apply""]","[""very happy"", ""accomplished""]","[""to buy stuff for dorm room"", ""to get a job to support themselves"", ""to go off to school"", ""accept to where he wants to go"", ""tell people his choice""]","[""accepts"", ""college""]",trn
PersonX accepts one 's ___,"[""none"", ""none"", ""people look up to PersonX"", ""people trust PersonX""]","[""happy to see a kind person"", ""none"", ""none""]","[""to critique person X's work"", ""to pay person X"", ""none"", ""none""]","[""Understanding"", ""Fair"", ""motivated"", ""persevering"", ""resigned"", ""philosophical"", ""accepting""]","[""Becomes thankful for what he has"", ""Comes a better person"", ""comes to terms"", ""understands own fate"", ""has patience"", ""keeps their integrity""]","[""to be a generous person"", ""happy because the movie was"", ""good life partner""]","[""to apply"", ""to get hired"", ""to evaluate himself/herself"", ""to come to a conclusion"", ""to be open to criticism"", ""to solicit the opinions of others""]","[""satisfied about himself."", ""verry nice"", ""happy""]","[""to work hard"", ""to get paid"", ""to give up"", ""to try to improve himself/herself"", ""to improve his work performance"", ""to learn to be not so sensitive""]","[""accepts"", ""one""]",trn
PersonX accepts the challenge,"[""accepts PersonX to join in the competition"", ""wishes PersonX well"", ""none"", ""none""]","[""glad"", ""disappointed"", ""ready to compete""]","[""none"", ""none""]","[""brave"", ""confident"", ""bold"", ""brave"", ""determined"", ""competitive"", ""apprehensive""]","[""joins the competition"", ""wins the competition"", ""Works to achieve a goal"", ""Becomes motivated"", ""competes"", ""tries to win""]","[""to prove he can do it."", ""to win"", ""to prove they are the best""]","[""talk to someone"", ""get into an argument with someone"", ""to be presenting with it"", ""to think about it""]","[""nervous"", ""that he needs to prepare"", ""victorious"", ""determined""]","[""to train for the challenge"", ""to eat healthy"", ""to sleep well"", ""to success"", ""to prove themselves""]","[""accepts"", ""challenge""]",trn
PersonX accepts the dare,"[""watches PersonX"", ""gives PersonX a high five"", ""laughs"", ""dare""]","[""none"", ""none"", ""amused""]","[""none"", ""none"", ""watch PersonX do it"", ""smile""]","[""Adventurous"", ""Willing"", ""risky"", ""adventurous"", ""Daring"", ""Risk taking""]","[""performs dare"", ""celebrates"", ""becomes brave"", ""does something crazy""]","[""to prove his bravery"", ""to prove they are not afraid"", ""to play the game"", ""to be liked""]","[""Work up courage"", ""To know what the dare is"", ""none"", ""to be challenged"", ""be with someone""]","[""anxious"", ""nervous"", ""brave"", ""brave"", ""nervous""]","[""To be seen as brave"", ""To gain respect"", ""to do the dare"", ""to complate the dare"", ""get out of it"", ""do the deed"", ""hide"", ""apologize""]","[""accepts"", ""dare""]",trn
PersonX accepts the fact,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""resigned"", ""understanding"", ""brave"", ""thoughtful""]","[""gains knowledge"", ""learns a new skill"", ""gripes"", ""quits trying"", ""gains knowledge"", ""become complimented about the fact""]","[""to be agreeable"", ""to be rational"", ""to move on with life"", ""to move on"", ""to learn something new""]","[""none"", ""none"", ""to make up his mind"", ""to know about it""]","[""rational"", ""agreeable"", ""ready to move on"", ""accepting""]","[""to change their thinking"", ""to not complain"", ""to carry on with their work day"", ""to go home and recover"", ""to give him punishment"", ""to quit the job""]","[""accepts"", ""fact""]",trn
PersonX accepts the invitation,"[""none"", ""none"", ""receives notice"", ""smiles""]","[""happy"", ""excited"", ""none"", ""excited""]","[""none"", ""none"", ""none""]","[""responsive"", ""adheres to rules"", ""friendly"", ""social"", ""open"", ""available""]","[""has fun at party"", ""makes new friends"", ""makes a friend"", ""has a good time together"", ""feels anxious"", ""heartrate increases""]","[""to go"", ""to be with other people"", ""to have fun"", ""to have fun"", ""to be polite"", ""to see some people""]","[""to open the mailbox"", ""to open the envelope"", ""none"", ""to have received an invitation"", ""to be important"", ""to have a deadline to accept it""]","[""excited"", ""glad"", ""happy"", ""grateful"", ""excited""]","[""to get a new shirt"", ""to buy some new cologne"", ""to attend the function as a chief guest"", ""to attend his friend's marriage"", ""to prepare a speech"", ""to buy an outfit for the occassion""]","[""accepts"", ""invitation""]",dev
PersonX accepts the job,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""proud""]","[""none""]","[""confident"", ""skilled"", ""competent"", ""brave"", ""hardworking"", ""Interested"", ""Independent""]","[""joyful"", ""happy"", ""makes more money"", ""buys a bigger house"", ""none""]","[""to work"", ""to be employed"", ""to make money"", ""to get a better career"", ""to get better pay"", ""to support their family""]","[""To buy a new wardrobe"", ""To research the company""]","[""satisfied"", ""relieved"", ""hopeful"", ""happy"", ""excited"", ""relieved""]","[""Job security"", ""A stable situation""]","[""accepts"", ""job""]",dev
PersonX accepts the offer,"[""Work for him"", ""Sell more"", ""none"", ""they get new co-worker"", ""they get help with workload""]","[""none"", ""happy that their offer has been accepted"", ""none""]","[""shake hands"", ""set up office"", ""to shake their hand"", ""to ask for the check""]","[""content"", ""happy"", ""accepting"", ""opportunistic""]","[""Pays them"", ""Shakes hands"", ""praised"", ""smiles"", ""gets higher salary"", ""gets new job""]","[""the job"", ""to make a deal"", ""to get the new job"", ""to benefit from it""]","[""provide a service"", ""offer a quote"", ""to listen to the offer"", ""to determine whether the offer is good""]","[""happy"", ""relieved that they've reached a compromise"", ""happy"", ""excited"", ""happy""]","[""get paid"", ""cash check"", ""to shake their hand"", ""to write them a check""]","[""accepts"", ""offer""]",dev
PersonX accepts without question,"[""none"", ""none""]","[""happy and settled""]","[""to part ways"", ""to instruct PersonX on how to use something"", ""none"", ""none""]","[""naive"", ""stupid"", ""gullible"", ""naive""]","[""scammed"", ""made look like a fool"", ""smiles"", ""sights""]","[""to be generous"", ""to settle the issue amicably""]","[""to be told something"", ""to be given something"", ""none"", ""none""]","[""cooperative""]","[""to question something"", ""to give something away"", ""to store something"", ""to say thanks"", ""to feel sure"", ""to trust"", ""to be done"", ""to feel confident in decision""]","[""accepts"", ""without""]",trn
PersonX accidentally broke ___,"[""none""]","[""none"", ""none"", ""none""]","[""to talk"", ""laugh"", ""none""]","[""sad"", ""upset"", ""nervous"", ""scared"", ""clumsy"", ""klutzy""]","[""becomes nervous"", ""runs and hides""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""nervous"", ""clumsy"", ""surprised"", ""hurt""]","[""to fix it"", ""say sorry"", ""apologize"", ""replace item""]","[""accidentally"", ""broke""]",trn
PersonX accidentally bumped,"[""none"", ""yelled at"", ""apologizes""]","[""like they had been stumbled into""]","[""none"", ""none"", ""none""]","[""clumsy"", ""uncoordinated"", ""clumsy"", ""innattentive"", ""oblivious"", ""graceless"", ""distracted"", ""careless""]","[""none"", ""knocked over"", ""falls""]","[""none""]","[""none"", ""run or drive fast"", ""run or drive with absent-mind"", ""none""]","[""a little clumsy""]","[""to be more careful"", ""to avoid the spot in the future"", ""break down"", ""get tripped down"", ""scream"", ""to pick up spilled items"", ""to fix their mistake""]","[""accidentally"", ""bumped""]",trn
PersonX accidentally burned,"[""none"", ""none""]","[""none"", ""sad"", ""none""]","[""none""]","[""Accident prone"", ""Wounded"", ""guilty"", ""ashamed"", ""pained"", ""scared""]","[""puts cream on it"", ""goes to doctor"", ""cries"", ""shakes the body""]","[""none"", ""none"", ""none""]","[""none""]","[""angry"", ""painfull"", ""scared"", ""embarassed""]","[""get treatment"", ""go to the hospital""]","[""accidentally"", ""burned""]",trn
