group,value,n,exact_match,single_choice_acc,f1,jaccard,error_rate
model_tier_style,gpt-4o-mini|T3|multi_v3,20,0.6,0.6,0.6,0.6,0.0
tier,T4,240,0.775,0.775,0.8,0.791667,0.058333
tier_style,T4|single,60,0.766667,0.766667,0.766667,0.766667,0.05
model_tier_style,doubao-seed-1-8-251228|T4|single,20,0.7,0.7,0.7,0.7,0.1
model_tier_style,doubao-seed-2-0-pro-260215|T4|single,20,0.8,0.8,0.8,0.8,0.05
model_tier_style,gpt-4o-mini|T4|single,20,0.8,0.8,0.8,0.8,0.0
tier_style,T4|multi_v1,60,0.7,0.7,0.8,0.766667,0.066667
model_tier_style,doubao-seed-1-8-251228|T4|multi_v1,20,0.9,0.9,0.9,0.9,0.1
model_tier_style,doubao-seed-2-0-pro-260215|T4|multi_v1,20,0.9,0.9,0.9,0.9,0.1
model_tier_style,gpt-4o-mini|T4|multi_v1,20,0.3,0.3,0.6,0.5,0.0
tier_style,T4|multi_v2,60,0.833333,0.833333,0.833333,0.833333,0.05
model_tier_style,doubao-seed-1-8-251228|T4|multi_v2,20,0.9,0.9,0.9,0.9,0.1
model_tier_style,doubao-seed-2-0-pro-260215|T4|multi_v2,20,0.9,0.9,0.9,0.9,0.05
model_tier_style,gpt-4o-mini|T4|multi_v2,20,0.7,0.7,0.7,0.7,0.0
tier_style,T4|multi_v3,60,0.8,0.8,0.8,0.8,0.066667
model_tier_style,doubao-seed-1-8-251228|T4|multi_v3,20,0.85,0.85,0.85,0.85,0.05
model_tier_style,doubao-seed-2-0-pro-260215|T4|multi_v3,20,0.8,0.8,0.8,0.8,0.15
model_tier_style,gpt-4o-mini|T4|multi_v3,20,0.75,0.75,0.75,0.75,0.0
tier,T5,240,0.925,0.925,0.941667,0.935417,0.004167
tier_style,T5|single,60,0.95,0.95,0.95,0.95,0.016667
model_tier_style,doubao-seed-1-8-251228|T5|single,20,0.95,0.95,0.95,0.95,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T5|single,20,0.95,0.95,0.95,0.95,0.05
model_tier_style,gpt-4o-mini|T5|single,20,0.95,0.95,0.95,0.95,0.0
tier_style,T5|multi_v1,60,0.833333,0.833333,0.9,0.875,0.0
model_tier_style,doubao-seed-1-8-251228|T5|multi_v1,20,1.0,1.0,1.0,1.0,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T5|multi_v1,20,1.0,1.0,1.0,1.0,0.0
model_tier_style,gpt-4o-mini|T5|multi_v1,20,0.5,0.5,0.7,0.625,0.0
tier_style,T5|multi_v2,60,0.95,0.95,0.95,0.95,0.0
model_tier_style,doubao-seed-1-8-251228|T5|multi_v2,20,0.95,0.95,0.95,0.95,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T5|multi_v2,20,0.95,0.95,0.95,0.95,0.0
model_tier_style,gpt-4o-mini|T5|multi_v2,20,0.95,0.95,0.95,0.95,0.0
tier_style,T5|multi_v3,60,0.966667,0.966667,0.966667,0.966667,0.0
model_tier_style,doubao-seed-1-8-251228|T5|multi_v3,20,0.95,0.95,0.95,0.95,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T5|multi_v3,20,1.0,1.0,1.0,1.0,0.0
model_tier_style,gpt-4o-mini|T5|multi_v3,20,0.95,0.95,0.95,0.95,0.0
