group,value,n,exact_match,single_choice_acc,f1,jaccard,error_rate
model_dataset_style,gpt-4o-mini|tracie|multi_v2,20,0.55,0.55,0.55,0.55,0.05
model_dataset_style,gpt-4o-mini|tracie|multi_v3,20,0.55,0.55,0.55,0.55,0.0
model_dataset,gpt-4o-mini|narrative-qa,80,0.6625,0.6625,0.695833,0.6875,0.05
model_dataset_style,gpt-4o-mini|narrative-qa|single,20,0.65,0.65,0.65,0.65,0.1
model_dataset_style,gpt-4o-mini|narrative-qa|multi_v1,20,0.65,0.65,0.75,0.725,0.0
model_dataset_style,gpt-4o-mini|narrative-qa|multi_v2,20,0.6,0.6,0.633333,0.625,0.1
model_dataset_style,gpt-4o-mini|narrative-qa|multi_v3,20,0.75,0.75,0.75,0.75,0.0
model_dataset,gpt-4o-mini|PIQA,80,0.875,0.875,0.883333,0.88125,0.05
model_dataset_style,gpt-4o-mini|PIQA|single,20,0.95,0.95,0.95,0.95,0.0
model_dataset_style,gpt-4o-mini|PIQA|multi_v1,20,0.9,0.9,0.9,0.9,0.05
model_dataset_style,gpt-4o-mini|PIQA|multi_v2,20,0.8,0.8,0.833333,0.825,0.05
model_dataset_style,gpt-4o-mini|PIQA|multi_v3,20,0.85,0.85,0.85,0.85,0.1
